"id","description"
"035","– Verwaltung der wirtschaftlichen Zusammenarbeit mit Übergangsländern
– Betrieb von Wirtschaftshilfemissionen, die bei ausländischen Regierungen akkreditiert sind, Betrieb oder Unterstützung von technischen Hilfsprogrammen, Schulungsprogrammen, Forschungsprojekten und Stipendienprogrammen
– Wirtschaftshilfe in der Form von Zuschüssen (in Geld- oder Sachleistungen) oder Darlehen (ungeachtet der Zinsbelastungen)
Umfasst nicht:
– Beiträge zu wirtschaftlichen Entwicklungsfonds internationaler oder regionaler Organisationen (033)
– Militärhilfe für das Ausland (163)"
"080","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Allgemeine Verwaltung"
"111","– Einsatz von regulären Polizeikräften und polizeilichen Hilfskräften, von Hafen-, Grenzwachen, anderen polizeilichen Sondereinheiten, die von öffentlichen Behörden unterhalten werden
– Polizeischule
Umfasst nicht:
– Verkehrssicherheit (112)"
"112","– Regelung und Kontrolle des Strassenverkehrs
Umfasst nicht:
– Verkehrsicherheit in den Bereichen Luft- und Raumfahrt (632)"
"113","– Kantonales Strassenverkehrs- und Schifffahrtsamt"
"120","– Verwaltung, Betrieb oder Unterstützung von Zivil-, Straf- und Versicherungsgerichten sowie des Justizwesens
– Verordnung von Geldbussen und gerichtlich verhängten Abfindungssummen sowie der bedingten Haftentlassung und Bewährung
– Prozessvertretung und Rechtsauskunft im Auftrag des Staates oder Dritter, welche vom Staat finanziert oder zur Verfügung gestellt werden
Umfasst nicht:
– Strafvollzug (130)"
"130","– Verwaltung, Betrieb oder Unterstützung von Gefängnissen und anderen Einrichtungen für die Haft und Wiedereingliederung von Verbrechern wie Gefängnis-Bauernhöfen, Erziehungsanstalten, Heimen für jugendliche Straftäter, psychiatrische Anstalten für strafrechtlich Unzurechnungsfähige etc"
"140","– Verwaltung, Bereitstellung oder Unterstützung von Aktivitäten wie Ausarbeitung, Durchführung, Koordination und Überwachung der Gesamtpolitik, Pläne, Programme und Budgets in Bezug zur öffentlicher Ordnung und Sicherheit, Vorbereitung und Durchsetzung von Gesetzgebung betreffend öffentliche Ordnung und Sicherheit
– Dienstleistungen im Bereich des allgemeinen Rechtswesens
– Ombudsmänner und dergleichen
– Kataster- und Vermessungswesen
– Angelegenheiten und Dienstleistungen öffentlicher Ordnung und Sicherheit, die nicht in den Funktionen 11, 12, 13, 15, 16 oder 18 enthalten sind"
"150","– Verwaltung von Angelegenheiten und Dienstleistungen der Feuerverhütung und Feuerbekämpfung und weitere der Feuerwehr zugeordnete Aufgaben
– Betrieb von Berufsfeuerwehren und Unterstützung der freiwilligen Feuerwehren sowie von Feuerverhütungs- und Feuerbekämpfungsdiensten, Bereitstellung oder Unterstützung von Ausbildungsprogrammen zur Feuerverhütung und -bekämpfung
Umfasst nicht:
– Zivile Verteidigung (162)
– Kräfte, die speziell für die Bekämpfung und Verhütung von Waldbränden ausgebildet sind (820)"
"161","– Verwaltung von Angelegenheiten und Dienstleistungen der militärischen Verteidigung
– operationelle Dienstleistungen für Ingenieurwesen, Transport, Kommunikation, Nachrichtendienst
Umfasst nicht:
– Militärische Hilfsaktionen (163)"
"162","– Verwaltung von Angelegenheiten und Dienstleistungen der zivilen Verteidigung (insb. des Zivilschutzes), Erarbeitung von Katastrophenplänen, Organisation von Übungen unter Einbezug ziviler Institutionen und der Zivilbevölkerung
– Operationelle Dienstleistungen oder Unterstützung ziviler Verteidigungskräfte
Umfasst nicht:
– Feuerwehr (150)
– Einkauf und Lagerung von Lebensmitteln, Ausrüstung und andern Versorgungsgütern für den Gebrauch in Notsituationen und Katastrophen in Friedenszeiten (850)"
"163","– Verwaltung der militärischen Hilfe und Durchführung von militärischen Hilfsaktionen, welche von ausländischen Regierungen anerkannt sind oder in Verbindung stehen zu internationalen militärischen Organisationen oder Bündnissen
– Militärische Hilfe in Form von öffentlichen Übertragungen oder Darlehen in Form von Ausrüstung
– Beiträge an internationale friedenserhaltende Massnahmen, einschliesslich der Bereitstellung von Personal"
"181","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Öffentliche Ordnung und Sicherheit
Umfasst nicht:
– Grundlagenforschung (281)"
"182","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Verteidigung
Umfasst nicht:
– Grundlagenforschung (281)"
"211","– In struktureller Hinsicht existieren in den Kantonen verschiedene Modelle von Kindergarten, Basis- oder Grundstufen
– Bereitstellung von Unterrichtsdienstleistungen (Fokus: Sozialkompetenz und schulische Arbeitsweise) auf Elementarstufe bzw. Bildungsstufe 0 gemäss ISCED-97
– Verwaltung, Aufsicht, Betrieb oder Unterstützung von Schulen und anderen Institutionen, die Unterrichtsdienstleistungen auf Elementarstufe bzw. Bildungsstufe 0 gemäss ISCED-97 bereitstellen
Umfasst nicht:
– Dienstleistungen der Funktionen 214, 218 oder 219"
"212","– Bereitstellung von Unterrichtsdienstleistungen (Fokus: Lesen, Schreiben, Rechnen und andere Fächer) auf Bildungsstufe 1 gemäss ISCED-97
– Unterrichtsdienstleistungen für Lernende mit Lernschwierigkeiten (Kleinklassen, Integrationsklassen, Klassen für fremdsprachige Schüler)
– Verwaltung, Aufsicht, Betrieb oder Unterstützung von Schulen oder anderen Institutionen, die Unterrichtsdienstleistungen auf Bildungsstufe 1 gemäss ISCED-97 bereitstellen
Umfasst nicht:
– Dienstleistungen der Funktionen 214, 218 oder 219"
"213","– Bereitstellung von Unterrichtsdienstleistungen (Fokus: Allgemeinbildung und Vorbereitung auf das Berufsleben oder Übertritt in höhere Schulen) auf unterer Sekundarstufe bzw. Bildungsstufe 2 gemäss ISCED-97
– Verwaltung, Aufsicht, Betrieb oder Unterstützung von Schulen und anderen Institutionen, die Unterrichtsdienstleistungen auf unterer Sekundarstufe bzw. Bildungsstufe 2 gemäss ISCED-97 bereitstellen
– Unterrichtsdienstleistungen für Lernende mit Lernschwierigkeiten (Kleinklassen, Integrationsklassen, Klassen für fremdsprachige Schüler, Werkklassen)
– Stipendien, Zuschüsse, Darlehen und Geldzuwendungen zur Unterstützung für Schüler, die eine Ausbildung auf unterer Sekundarstufe bzw. Bildungsstufe 2 gemäss ISCED-97 verfolgen
– «Brückenangebote» wie das 10. Schuljahr, sofern es sich um ein schulisches Angebot handelt
Umfasst nicht:
– Dienstleistungen der Funktionen 214, 218 oder 219"
"214","– Musikschulen auf Volksschulstufe"
"217","– Verwaltung, Bau, Betrieb und Unterhalt von Schulgebäuden"
"218","– Ausserfamiliäre Tagesbetreuung (inkl. Verpflegung) von Kindern und Jugendlichen, ohne die stationäre Unterbringung, Schulmahlzeitendienst
Umfasst nicht:
– Kinderhorte und -krippen (545)"
"219","– Aufgaben im Bereich der obligatorischen Schule (21), die keiner spezifischen Funktion zugeordnet werden können
– Verwaltung der obligatorischen Schule"
"220","– Heilpädagogische Schulen, Behindertenschulen gemäss kantonalen Schul- oder Erziehungsgesetzen und den dazugehörenden Verordnungen und Ausführungsbestimmungen sowie weiteren Gesetzen (Fürsorge-, Behindertengleichstellungsgesetz, etc.)
– Leistungen in den Bereichen der heilpädagogischen Früherziehung, der pädagogisch-therapeutischen Massnahmen (inkl. Unterkunft und Verpflegung) sowie der Transport
Umfasst nicht:
– Unterricht der Landessprachen für Fremdsprachige, Nachhilfe- und Logopädieunterricht, Aufgabenhilfen, Kleinklassen, Werkklassen etc. (21)"
"230","– Bereitstellen von Unterrichtsdienstleistungen auf oberer Sekundarstufe bzw. Bildungsstufe 3/ 4 gemäss ISCED-97
– Die berufliche Grundbildung auf der Sekundarstufe II kann als Betriebslehre (duales System: Schule und Betrieb) oder als Vollzeitschule absolviert werden
– Berufsmaturität"
"251","– Bereitstellung von Unterrichtsdienstleistungen auf oberer Sekundarstufe bzw. Bildungsstufe 3 gemäss ISCED-97
– Verwaltung, Aufsicht, Betrieb oder Unterstützung von Schulen und anderen Institutionen, die Unterrichtsdienstleistungen auf oberer Sekundarstufe bzw. Bildungsstufe 3 gemäss ISCED-97 bereitstellen
– Stipendien, Zuschüsse, Darlehen und Geldzuwendungen zur Unterstützung für Schüler, die eine Ausbildung auf oberer Sekundarstufe bzw. Bildungsstufe 3 gemäss ISCED-97 verfolgen
– Außerschulische Unterrichtsdienstleistungen für Erwachsene und junge Menschen im oberen Sekundarbereich
Umfasst nicht:
– Berufsmaturität (230)"
"252","– Fachmittelschulen (früher Diplommittelschulen) bieten einen erweiterten Ausbildungsgang an, der gezielt auf tertiäre Berufsausbildungen (Ausbildungen an Höheren Fachschulen oder Fachhochschulen) vorbereitet. Bereitstellung von Unterrichtsdienstleistungen auf oberer Sekundarstufe bzw. Bildungsstufe 3 gemäss ISCED-97
Umfasst nicht:
– Berufsmaturität (230)"
"260","– Bereitstellung von Unterrichtsdienstleistungen im post-sekundären, nicht-tertiären Bereich auf Bildungsstufe 5B gemäss ISCED-97
– Verwaltung, Aufsicht, Betrieb oder Unterstützung von Institutionen, die Unterrichtsdienstleistungen im post-sekundären, nicht-tertiären Bereich auf Bildungsstufe 5B gemäss ISCED-97 bereitstellen
– Stipendien, Zuschüsse, Darlehen und Geldzuwendungen für Studenten, die eine Ausbildung im post-sekundären, nicht-tertiären Bereich auf der Bildungsstufe 5B verfolgen
– Außerschulische Unterrichtsdienstleistungen für Erwachsene und junge Menschen im postsekundären, nicht-tertiären Bereich
– Diplom einer anerkannten höheren Fachschule (HFS) oder eines höheren Berufs- oder Fachdiploms (Eidg. Fachausweis, Eidg. Diplom bzw. Meisterdiplom)"
"271","– Bereitstellung von Unterrichtsdienstleistungen auf Tertiärstufe bzw. Bildungsstufe 5A/6 gemäss ISCED-97
– Verwaltung, Aufsicht, Betrieb oder Unterstützung von Universitäten und anderen Institutionen, die Unterrichtsdienstleistungen auf Tertiär- bzw. Bildungsstufe 5A/6 gemäss ISCED-97 bereitstellen
– Stipendien, Zuschüsse, Darlehen und Geldzuwendungen für Studenten, die eine Ausbildung auf Tertiärstufe bzw. Bildungsstufe 5A/6 gemäss ISCED-97 absolvieren
– 10 kantonale Universitäten (ZH, BE, FR, BS, SG, TI, VD, NE, GE, LU)
– Eidgenössische Technische Hochschulen"
"272","– Bereitstellen von Unterrichtsdienstleistungen auf der Tertiär- bzw. Bildungsstufe 5A gemäss ISCED-97
– Grundausbildung von Lehrerinnen und Lehrern für die Vorschulstufe, die Primarstufe und teilweise auch für die Sekundarstufen I und II durch die rund 15 Pädagogischen Hochschulen (PH)
– Die Pädagogischen Hochschulen haben den Status von Fachhochschulen, unterstehen aber kantonalem Recht"
"273","– Bereitstellung von Unterrichtsdienstleistungen auf Tertiärstufe bzw. Bildungsstufe 5A gemäss ISCED-97
– Verwaltung, Aufsicht, Betrieb oder Unterstützung von Universitäten und anderen Institutionen, die Unterrichtsdienstleistungen auf Tertiärstufe bzw. Bildungsstufe 5A gemäss ISCED-97 bereitstellen
– Stipendien, Zuschüsse, Darlehen und Geldzuwendungen für Studenten, die eine Ausbildung auf Tertiärstufe bzw. Bildungsstufe 5A gemäss ISCED-97 verfolgen"
"281","– Verwaltung, Betrieb oder Unterstützung in Form von Beiträgen oder Investitionszuschüssen nicht staatlicher Institutionen wie Forschungsinstitute und Universitäten
Umfasst nicht: 
– Forschung und Entwicklung in den Funktionsbereichen"
"282","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Bildung
Umfasst nicht:
– Grundlagenforschung (281)"
"291","– Betrieb oder Unterstützung von Bildung, sowie Koordination und Monitoring aller Schulpolitiken, Pläne, Programmen und Budgets
– Verwaltung und Dienstleistungen der Erziehungsdepartemente
– Lizenzvergabe von Schulinstituten
Umfasst nicht:
– Verwaltung der obligatorischen Schule (219)
– Verwaltung, Bau, Betrieb und Unterhalt von Schulgebäuden (219)"
"299","– Übrige, nicht einer bestimmten Bildungsstufe zuzuteilende Aufgaben (Erwachsenenbildung, Weiterbildung, Berufsberatung)
– Den Bildungsstufen nicht zuzuordnende Stipendien"
"311","– Verwaltung, Betrieb, Unterhalt oder Unterstützung von verschiedenen Museen (inkl. Freilichtmuseen), Kunstgalerien (Skulpturen, Gemälden, Fotografien), Ausstellungshallen, etc
– Förderung von bildenden Künstlern (Bildhauer, Maler, Fotografen, Designer etc.) 
– Förderung von kulturellen Organisationen im Bereich der bildenden Kunst (Kunstvereine, Museumsvereine etc.)
Umfasst nicht:
– Archivierung (022)
– Kulturelle Veranstaltungen im Rahmen der politischen Beziehungen (031)
– Nationale, regionale oder lokale Festlichkeiten, hauptsächlich für Tourismuswerbung (840)"
"312","– Verwaltung, Betrieb, Unterhalt oder Unterstützung von historischen, schützenwerten oder archäologischen Bauten und Stätten
Umfasst nicht:
– Nationale, regionale oder lokale Festlichkeiten, hauptsächlich für Touristenwerbung (840)"
"321","– Verwaltung, Betrieb, Unterhalt oder Unterstützung von Bibliotheken
– Verwaltung, Betrieb, Unterhalt oder Unterstützung von historischen und Literaturarchiven (Handschriften, Chroniken, Karten, Grafiken, etc.)
– Förderung oder Unterstützung von Lesegesellschaften und anderen kulturellen Organisationen im Bibliotheks- und Archivbereich
– Förderung von Büchern und Bücherausstellungen und Literaturfestivals sowie von Kulturschaffenden und Organisationen im Bereich der Literatur (Schriftsteller, Literaturübersetzer, Buchhandlungen, Verlage usw.)
Umfasst nicht:
– Archivierung von Verwaltungsdokumenten (022)
– Allgemeine Übersetzungen"
"322","– Betrieb, Unterhalt oder Unterstützung von Konzert und Theater
– Förderung von Musik, Tanz, Theater, Musicals, Opern, Zirkus
– Förderung von Kulturschaffenden im Musik- und Theaterbereich (Musiker, Komponisten, Sänger, Theaterschauspieler, Theaterregisseure, etc.)
– Förderung von kulturellen Organisationen im Musik- und Theaterbereich (Orchester, Chöre, Musikvereine, Theatervereine, etc.)
Umfasst nicht:
– Unterstützung von Musikschulen (214)"
"329","– Allgemeine, nicht spartenspezifische Kulturförderung
– Förderung von kulturellen Anlässen und kulturellen Organisationen, die nicht in den Funktionen 311, 312, 321, 322, 331 oder 332 enthalten sind
– Zoologische oder botanische Gärten, Aquarien, Waldlehrpfade und ähnliche Institutionen"
"331","– Förderung von Filmproduktion und -vertrieb
– Unterstützung von Filmfestivals
– Förderung von Kulturschaffenden im Filmbereich (Filmschauspieler, Filmregisseure, etc.)
– Förderung von kulturellen Organisationen im Filmbereich (Filmvereine, Kinovereine, Filmverleih, etc.)
Umfasst nicht:
– Werbefilme / Auftragsfilme für Tourismuswerbung (840)"
"332","– Förderung von kulturellem Material, das für die Verbreitung über Fernsehen, Internet und Radio bestimmt ist sowie Multimediaproduktion
– Förderung von Zeitungen, Presse, MedienUmfasst nicht:
– Druckzentralen der öffentlichen Haushalte (022)
– Lehrmittelverlage (219)
– Bereitstellung von Material für Aufgaben im Bereich Bildung (2)"
"341","– Verwaltung, Betrieb, Unterhalt oder Unterstützung von Sporteinrichtungen 
– Aufsicht von und Erlassung von Vorschriften für Sportstätten
– Förderung oder Unterstützung von sportlichen Aktivitäten und Sportveranstaltungen
Umfasst nicht
– Sporteinrichtungen, die mit Institutionen des Bildungswesens verbunden sind (klassifiziert in der entsprechenden Klasse des Bildungsbereichs 2)"
"342","– Verwaltung, Betrieb, Unterhalt oder Unterstützung von Dienstleistungen im Bereich der Freizeitgestaltung
– Betrieb oder Unterstützung von Einrichtungen für die Freizeitaktivitäten, (Parks, Campingplätze und verbundene, auf nicht-gewerblicher Basis eingerichtete Logierplätze, etc.)
Umfasst nicht:
– Zoologische oder botanische Gärten, Aquarien, Waldlehrpfade und ähnliche Institutionen (329)
– Freizeiteinrichtungen, die mit Institutionen des Bildungswesens verbunden sind (klassifiziert in der entsprechenden Klasse des Bildungsbereichs 2)"
"350","– Verwaltung, Betrieb oder Unterstützung von Kirchen und religiösen Angelegenheiten"
"381","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Kultur und Medien
Umfasst nicht:
– Grundlagenforschung (281)"
"382","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich Sport, Freizeitgestaltung und Religion
Umfasst nicht:
– Grundlagenforschung (281)"
"411","– Bau, Betrieb, Unterhalt oder Unterstützung von Anstalten, die der stationären Behandlung akuter Krankheiten oder der stationären Durchführung von Massnahmen der medizinischen Rehabilitation dienen. Diese Anstalten gelten sowohl nach Artikel 39 Absatz 1 KVG als auch in der Krankenhausstatistik des BFS als Spitäler
– Gemeinwirtschaftliche Leistungen (GWL)"
"412","– Bau, Betrieb, Unterhalt oder Unterstützung von Institutionen mit 24-Stunden-Betrieb, in denen Personen zur stationären Behandlung oder Betreuung aufgenommen werden. Die Einweisung kann aus medizinischen und/oder sozialen Gründen erfolgen und ist in der Regel auf einen längerfristigen Zeitraum angelegt (Definition gemäss der Statistik der sozialmedizinischen Institutionen des BFS)"
"413","– Bau, Betrieb, Unterhalt oder Unterstützung von Spitäler oder Kliniken, welche sich auf den medizinischen Fachbereich der Psychiatrie spezialisiert haben"
"421","– Spitalexterne Krankenpflege, Heimpflege, Samaritervereine, Mahlzeitendienst (nicht subventioniert) etc"
"422","– Ambulanzen, Sanitätspolizei, Rega, urgence médicale usw"
"431","– Prophylaktische und therapeutische Massnahmen
Umfasst nicht:
– Soziale Unterstützung von Alkohol- und Drogenabhängigen (579)"
"432","– Verwaltung, Kontrolle, Betrieb oder Unterstützung eines öffentlichen Gesundheitsdienstes wie Betrieb von Blutbanken (Sammeln, Verarbeiten, Lagerung, Versand), Krankheitsfeststellung (Krebs, Tuberkulose, Geschlechtskrankheiten), Prävention (Immunisierung, Impfungen), Überwachung (Kinderernährung, Kindergesundheit) und Sammeln von epidemiologischen Daten, usw
– Erstellung und Verbreitung von Informationen über Angelegenheiten des öffentlichen Gesundheitsdienstes
– Öffentlicher Gesundheitsdienst, der von spezialisierten Teams am Arbeitsplatz oder anderen nicht medizinischen Niederlassungen bereitgestellt wird
– Öffentlicher Gesundheitsdienst, der nicht mit einem Krankenhaus, Klinik oder Arzt verbunden ist"
"433","– Öffentlicher Gesundheitsdienst, der von spezialisierten Teams an Schulen bereitgestellt wird (z.B. Schulzahnpflege)"
"434","– Durchführung von Inspektionen in Betrieben
– Durchführung von Laboruntersuchungen
– Kontrolle der Einhaltung von gesetzlichen Vorschriften"
"480","– Verwaltung, Betrieb oder Unterstützung angewandter Forschung und experimenteller Entwicklung im Bereich des Gesundheitswesens
– Labors, die mit der Feststellung der Ursachen von Krankheiten beschäftigt sind
Umfasst nicht:
– Grundlagenforschung (281)"
"490","– Verwaltung, Betrieb oder Unterstützung von Aktivitäten wie Ausarbeitung, Durchführung, Koordination und Überwachung einer umfassenden Gesundheitspolitik, Plänen, Programmen und Budgets
– Vorbereitung und Durchsetzung von Gesetzgebung und Normen bezüglich Vorschriften im Bereich des Gesundheitswesens, wie z.B. die Konzessionierung von medizinischen Einrichtungen, Zulassungsbestimmungen für das ärztliche und das nicht-ärztliche medizinische Personal, Zulassungsbestimmungen für Medikamente
– Angelegenheiten des Gesundheitswesens, die nicht anderweitig zugeordnet werden können"
"511","– Verwaltung, Betrieb oder Unterstützung gemäss Bundesgesetz vom 18. März 1994 über die Krankenversicherung (KVG, SR 832.10)
Umfasst nicht:
– Prämienverbilligungen (512)
– Übernahme von nicht bezahlten Prämien (579)"
"512","– Beiträge zur Verbilligung von Prämien der obligatorischen Kranken- und Unfallversicherung
Umfasst nicht:
– Übernahme von nicht bezahlten Prämien (579)"
"513","– Verwaltung, Betrieb oder Unterstützung gemäss Bundesgesetz vom 20. März 1981 über die Unfallversicherung (UVG, SR 832.20)
Umfasst nicht:
–  Arbeitgeberbeiträge (sind nach Aufgabenbereichen zugeordnet)"
"514","– Verwaltung, Betrieb oder Unterstützung gemäss Bundesgesetz vom 19. Juni 1992 über die Militärversicherung (MVG, SR 833.1)"
"521","– Verwaltung, Betrieb oder Unterstützung gemäss Bundesgesetz 6. Oktober 2006 über Ergänzungsleistungen zur Alters- Hinterlassenen- und Invalidenversicherung (ELG, SR 831.30)
– Beiträge der öffentlichen Hand
Umfasst nicht:
– Arbeitgeberbeiträge (sind nach Aufgabenbereichen zugeordnet)"
"522","– Ergänzungsleistungen des Bundes und der Kantone gemäss Bundesgesetz vom 6. Oktober 2006 über Ergänzungsleistungen zur Alters- Hinterlassenen- und Invalidenversicherung (ELG, SR 831.30)
Umfasst nicht:
– Kantonale Beihilfen zur IV (571)
– Gemeindezuschüsse zu kantonalen Beihilfen (571)"
"523","– Bau, Betrieb, Unterhalt oder Unterstützung von Einrichtungen für die Unterbringung, Beschäftigung, Betreuung und Förderung von invaliden Menschen
– Invalidenheime"
"524","– Leistungen an Invalide, die nicht in den Funktionen 521 bis 523 enthalten sind"
"531","– Verwaltung, Betrieb oder Unterstützung gemäss Bundesgesetz vom 20. Dezember 1946 über die Alters- und Hinterlassenenversicherung (AHVG, SR 831.10)
– Beiträge der öffentlichen Hand
– Ausgleichskassen und kommunale Zweigstellen
Umfasst nicht:
– Arbeitgeberbeiträge (sind nach Aufgabenbereichen zugeordnet)"
"532","– Ergänzungsleistungen des Bundes und der Kantone gemäss Bundesgesetz vom 6. Oktober 2006 über Ergänzungsleistungen zur Alters- Hinterlassenen- und Invalidenversicherung (ELG, SR 831.30)
Umfasst nicht:
– Kantonale Beihilfen zur AHV (571)
– Gemeindezuschüsse zu den kantonalen Beihilfen (571)"
"533","– Ruhegehälter, Überbrückungsrenten, Teuerungszulagen für Pensionierte
Umfasst nicht:
– Leistungen an das Alter (535)"
"534","– Altersheime, Altersresidenzen, Alterswohnungen, Alterssiedlungen (ohne medizinische Betreuung und ohne Pflege)
Umfasst nicht:
– Pflegeheime, Altersheime mit Fokus Pflege (412)"
"535","– Dienstleistungen und Beiträge für das Alter, die nicht den Funktionen 531 bis 534 enthalten sind
– Unterstützung von Institutionen für das Alter (z.B. Pro Senectute)
,Im Rahmen der Gesamtrechnung der Sozialen Sicherheit nach Eurostat wird eine Untergliederung in «544 Jugendschutz» und «545 Leistungen an Familien» vorgenommen"
"541","– Familienzulagen gemäss Bundes- und kantonaler Gesetzgebung
– Familienzulagen in der Landwirtschaft
Umfasst nicht:
– Mutterschaftsversicherung (542)"
"542","– Verwaltung, Betrieb oder Unterstützung gemäss Bundesgesetz vom 25. September 1952 über den Erwerbsersatz für Dienstleistende und bei Mutterschaft (Erwerbsersatzgesetz, EOG, SR 834.1) sowie kantonalen Gesetzen"
"543","– Bevorschussung von ausbleibenden Alimentenzahlungen und -inkassohilfe"
"544","– Massnahmen zum Schutz der Kinder und Jugendlichen. z.B. Jugendfürsorge, Kinderheime, Pro Juventute, KESB Kinderschutz
Umfasst nicht:
– KESB Erwachsenenschutz (545)"
"545","– Massnahmen zum Schutz und zur Unterstützung von Familien. z.B. Familienberatung, Mutterschaftsbeihilfen, Geburtsbeihilfen, Kinderhorte und –krippen, KESB Erwachsenenschutz (545)
Umfasst nicht:
– Mutterschaftsversicherung (542)
– KESB Kinderschutz (544)
,Die Unterteilung in «551 Arbeitslosenversicherung» und «552 Leistungen an Arbeitslose» ist auf Anforderung der Sozialhilfestatistik erfolgt"
"551","– Verwaltung, Betrieb oder Unterstützung gemäss Bundesgesetz vom 25. Juni 1982 über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung (Arbeitslosenversicherungsgesetz, AVIG, SR 837.0)
– Beiträge der öffentlichen Hand
Umfasst nicht:
– Arbeitgeberbeiträge (sind nach Aufgabenbereichen zugeordnet)"
"552","– Individuelle Leistungen an Arbeitslose, die nicht in der Funktion 551 enthalten sind
Umfasst nicht:
– Regionale Arbeitsvermittlungszentren"
"559","– Verwaltung und Dienstleistungen im Bereich der Arbeitslosigkeit nicht anderweitig genannt, Regionale Arbeitsvermittlungszentren"
"560","– Verwaltung, Bau, Unterhalt und Betrieb von Sozialwohnungen
– Unterstützungen in Form von Leistungen wie z.B. Mietzinszuschüsse, Zahlungen um die gegenwärtigen Wohnkosten für Eigenheimbesitzer zu erleichtern (d.h. Beiträge an Hypothekentilgungen und Zinszahlungen)
Umfasst nicht:
– Wohnbauförderung (790)"
